LOCCODE,PreK_Type,Borough,LocName,NOTE,phone,address,Postcode,Day_Length,Seats,X,Y,Email,MEALS,Website,INDOOR_OUTDOOR,EXTENDED_DAY,SEMS_CODE,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
Q183,DOE,Q,P.S. 183 Dr. Richard R Green,,718-634-9459,2 - 45 Bch 79 St,11693,1,36,1038210,154094,jromero6@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/27/q183,3,3,27Q183,,,,,,,,
Q201,DOE,Q,P.S. 201 The Discovery School For Inquiry And Research,,718-359-0620,65 - 11 155 St,11367,1,72,1036049,207643,rlozada@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/25/q201,3,3,25Q201,,,,,,,,
Q333,DOE,Q,Goldie Maple Academy,,718-945-3300,3 - 65 Bch 56 St,11692,1,72,1043527,155806,alogansmith@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/27/q333,3,3,27Q333,,,,,,,,
Q361,DOE,Q,P.S. 361,,718-935-3614,57 - 02 To 57 - 08 39th Ave,11377,1,54,1010261,211774,NHwang@schools.nyc.gov,5,,9,3,30Q361,,,,,,,,
QAKH,NYCEEC,Q,Samuel Field YM & YWHA ( Little Neck ),,718-225-6750,5820 Little Nck Pkwy,11362,1,54,1060902,216694,tcampo@sfy.org,3,http://sfy.org,7,1,26QAKH,,,,,,,,
QALO,NYCEEC,Q,Imagine ELC,,718-557-5520,1 Jamaica Ctr Plz,11432,1,15,1039468,195353,catherine@imagineelc.com,5,http://imagineelc.com,1,1,28QALO,,,,,,,,
QAPD,NYCEEC,Q,NY League Forest Hills West,,718-639-9750,6325 Dry Hbr Rd,11379,1,16,1019247,202210,mary.rosa@yai.org,2,http://yai.org,3,2,24QAPD,,,,,,,,
QAST,NYCEEC,Q,"ABC Preschool & Kindergarten Center, Corp.",,718-672-2424,66 - 20 Laurel Hl Blvd,11377,1,80,1012501,208731,abc_preschool@yahoo.com,3,http://abcpreschoolny.com,3,1,24QAST,,,,,,,,
QAUN,NYCEEC,Q,Jack & Jill II,,718-939-8687,6805 Fresh Mdw Ln,11365,1,36,1041220,206562,mirna_p_ramos@yahoo.com,3,http://jackandjillschools.com,2,1,26QAUN,,,,,,,,
QAXQ,NYCEEC,Q,Our Saviour Lutheran,,718-739-7452,90 - 04 175 Th St,11432,1,45,1043333,197890,oursaviourdirector@gmail.com,7,http://oursaviourjamaica.com,3,2,29QAXQ,,,,,,,,
QAZV,NYCEEC,Q,Macedonia CDC,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-939-6060,3722 Un St,11354,1,18,1032033,216864,huynh357@aol.com,3,,2,2,25QAZV,,,,,,,,
QBBG,NYCEEC,Q,Han - I Preschool,,718-358-3377,19818 32nd Rd - 1st Floor,11358,1,18,1042288,219298,hanipreschool@gmail.com,3,http://hanipreschool.com,3,1,26QBBG,,,,,,,,
QBBR,NYCEEC,Q,ICCD,,718-428-5370,35 - 55 223rd St,11361,1,14,1050263,219672,Lsolan@iccd.com,7,http://iccd.com,3,1,26QBBR,,,,,,,,
QBEO,NYCEEC,Q,ABC ELC,,718-225-8044,54 - 25 Little Nck Pkwy,11362,1,64,1060350,218772,zepurv@aol.com,3,,7,1,26QBEO,,,,,,,,
QBGI,NYCEEC,Q,Tiny Footsteps,,718-969-5500,167 - 01 Un Tpke,11366,1,37,1039421,202706,tinyfootstepsny@yahoo.com,3,http://tinyfootstepsny.com,7,1,25QBGI,,,,,,,,
QBHN,NYCEEC,Q,Leading Kids Preschool,,718-229-6400,44 - 07 Little Nck Pkwy,11363,1,17,1057371,220244,leadingkidspreschool@gmail.com,3,http://leadingkidspreschool.com,8,1,26QBHN,,,,,,,,
QBHV,NYCEEC,Q,Queens Library UPK - Woodhaven,,718-849-1069,85 - 41 Frst Pkwy,11421,1,18,1022670,192347,shinkle@queenslibrary.org,7,http://queenslibrary.org,7,2,27QBHV,,,,,,,,
QBNJ,NYCEEC,Q,Fairytale Daycare Pre School Center,,718-275-0204,99 - 13 63rd,11374,1,33,1024024,206281,Fairytaledaycareny@gmail.com,5,,9,3,28QBNJ,,,,,,,,
QBNN,NYCEEC,Q,New Milestone,,718-380-1978,27 - 18 Hoyt Ave South,11102,1,40,1006450,220310,new.milestone@yahoo.com,5,,9,3,30QBNN,,,,,,,,
R001,DOE,R,P.S. 001 Tottenville,,718-984-0960,58 Smt St,10307,1,18,916394,124757,gsilber@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/31/r001,3,3,31R001,,,,,,,,
R022,DOE,R,P.S. 022 Graniteville,,718-442-2219,1860 Frst Ave,10303,1,18,942320,167050,mdonath@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/31/r022,7,3,31R022,,,,,,,,
RABA,NYCEEC,R,Our Lady Help Of Christians,,718-984-1360,23 Smt St,10307,1,40,916683,124975,si305@adnyeducation.org,5,,9,3,31RABA,,,,,,,,
RABP,NYCEEC,R,St. John's Ev Preschool,,718-761-1858,663 Mnr Rd,10314,1,36,950541,161851,Tsokolprek@gmail.com,7,http://stjohnslutheransi.org,7,1,31RABP,,,,,,,,
RACN,NYCEEC,R,"United Cerebral Palsy Of New York City, Inc.",,718-442-6006,281 Prt Richmond Ave,10302,1,16,946604,170403,lvoluz@ucpnyc.org,2,http://ucpnyc.org,3,2,31RACN,,,,,,,,
RAFN,NYCEEC,R,"High Hopes Of Staten Island, Inc.",,718-317-8143,1298 Woodrow Rad,10309,1,20,926370,136598,admin@highhopeschildcare.com,5,http://highhopeschildcare.com,7,1,31RAFN,,,,,,,,
RAFO,NYCEEC,R,Jewish Community Center Of Staten Island,,718-475-5225,1466 Mnr Rd,10314,1,44,949163,155993,bhoward@sijcc.com,7,http://sijcc.org,3,1,31RAFO,,,,,,,,
RAGD,NYCEEC,R,Yeled V'Yalda / Silver Lake Head Start II,,718-720-0090,20 Park Hl Cir,10304,1,40,962609,163785,dvazquez@yeled.org,3,http://yeled.org,3,1,31RAGD,,,,,,,,
RAGH,NYCEEC,R,Richmond Hill Children's Center,,718-494-7422,"501 Richmond Hl Rd,",10314,1,51,941737,151066,rhcc@verizon.net,5,http://rhccny.com,7,1,31RAGH,,,,,,,,
RAGM,NYCEEC,R,Staten Island Head Start,,718-987-7755,44 Dongan Hls Ave,10306,1,57,956236,153374,lchernoff@simhs.org,3,http://simhs.org,7,1,31RAGM,,,,,,,,
X036,DOE,X,P.S. 036 Unionport,,718-822-5345,1070 Castle Hl Ave,10472,1,54,1025718,241505,emaresca@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/08/x036,7,3,08X036,,,,,,,,
XABT,NYCEEC,X,Immaculate Conception School,,718-547-3346,760 East Gun Hl Rd,10467,1,36,1021927,258568,b207@adnyeducation.org,5,http://schoolofimmaculateconception.org,9,3,11XABT,,,,,,,,
XAEO,NYCEEC,X,St. Theresa,,718-792-3688,2872 Sttheresa Ave,10461,1,92,1030340,248745,b262@adnyeducation.org,7,http://sttheresaschoolbronx.org,3,1,08XAEO,,,,,,,,
XAFB,NYCEEC,X,"Villa Maria Academy, Inc.",,718-824-3260,3335 Country Clb Rd,10465,1,54,1035029,245985,teresa.barton@archny.org,7,http://vma-ny.org,7,2,08XAFB,,,,,,,,
XAHD,NYCEEC,X,Mid Bronx CCRP ECC 4,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,917-962-9384,1020 Smt Ave,10452,1,31,1003706,243050,ogdendc@midbronx.org,3,http://midbronx.org,6,1,09XAHD,,,,,,,,
XAHF,NYCEEC,X,Dr. Katharine Dodge Brownell School,,914-375-8652,450 Castle Hl Ave,10473,3,25,1026551,236861,nbrown@leakeandwatts.org,5,,9,3,08XAHF,,,,,,,,
XAML,NYCEEC,X,Just 4 Kids Tremont,,917-217-1781,3881 East Tremont,10465,1,12,1034238,239286,Djust4kids@aol.com,3,,3,1,08XAML,,,,,,,,
XANK,NYCEEC,X,Just 4 Kids Kiddie Kollege,,917-995-8041,781 Castle Hl Ave,10473,1,18,1025921,239130,Djust4kids@aol.com,3,,3,2,08XANK,,,,,,,,
XANW,NYCEEC,X,Highbridge Advisory Council Head Start,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-992-1321,880 Riv Ave,10452,1,47,1004909,241051,bhernandez@hdst.org,3,http://hacfamilyservices.org/,8,2,09XANW,,,,,,,,
XATD,NYCEEC,X,Bronx Community College ECC,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-289-5461,2010 Sedgwick,10468,1,24,1007708,251676,shauna.harper@bcc.cuny.edu,3,http://bcc.cuny.edu/bcckids,3,2,10XATD,,,,,,,,
XAVW,NYCEEC,X,"Unity Neighborhood Center, Inc.",,718-994-8400,1339 E Gun Hl Rd,10469,1,72,1026635,256646,unitycenterwork@aol.com,3,http://unityneighborhoodcenter.org,7,1,11XAVW,,,,,,,,
Z025,DOE,R,Pre - K Center At 1625 Forest Avenue,,212-637-8000,1625 Frst Ave,10302,1,90,944667,167010,pre-k@schools.nyc.gov,5,,9,3,31Z025,,,,,,,,
Z029,DOE,X,Pre - K Center At 535 Union Avenue,,212-637-8000,535 Un Ave,10455,1,180,1010311,235124,pre-k@schools.nyc.gov,5,,9,3,07Z029,,,,,,,,
Z051,DOE,Q,Pre - K Center At P.S. 040 Samuel Huntington,,212-637-8000,109 - 20 Un Hall St,11433,1,36,1042285,192115,pre-k@schools.nyc.gov,5,,9,3,28Z051,,,,,,,,
K194,DOE,K,P.S. 194 Raoul Wallenberg,,718-648-8804,3117 Ave W,11229,1,36,1002569,156858,mzissle@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/22/k194,3,3,22K194,40.596757,-73.933499,7,46,570,3201629,3073930001,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
X163,DOE,X,P.S. 163 Arthur A Schomburg,,718-584-3045,2075 Webster Ave,10457,1,18,1012253,249624,dmartinez20@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/09/x163,3,3,09X163,40.851741,-73.898493,7,15,379,2013297,2031420048,Mount Hope                                                                 
X140,DOE,X,P.S. X140 The Eagle School,,718-585-1205,916 Eagle Ave,10456,1,54,1009799,239257,pcannon@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/08/x140,3,3,08X140,40.823289,-73.907948,7,17,185,2004469,2026270009,Morrisania-Melrose                                                         
MBBJ,NYCEEC,M,Ft. George Child Center 1,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,212-927-2210,601 W 186 St,10033,1,17,1003145,249930,eguzman@ftgeocenterhs.org,3,,6,2,06MBBJ,40.852466,-73.931675,7,10,271,1063981,1021660082,Washington Heights North                                                   
QAVJ,NYCEEC,Q,Jfkidsport,,718-553-5437,Jfk Airport Building 350,11430,1,36,1047995,178209,jfkidsport@hotmail.com,2,http://jfkidsport.com,7,1,27QAVJ,40.648244,-73.788242,7,28,716,4000000,4142600001,Airport                                                                    
M225,DOE,M,Ella Baker School,,212-717-8809,317 East 67 St,10065,1,54,995464,218123,lgarcia3@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/02/m225,3,1,02M225,40.765359,-73.960059,7,5,118,1083343,1014420001,Lenox Hill-Roosevelt Island                                                
Z087,NYCEEC,X,Pre - K Center At 2512 Marion Avenue,,917-473-7623,2512 Marion Ave,10458,1,260,1013841,253070,mcroft@schools.nyc.gov,5,,9,3,10Z087,40.861316,-73.893236,7,15,39902,2118012,2030260014,Bedford Park-Fordham North                                                 
Q239,DOE,Q,P.S. 239,,718-417-2840,17 - 15 Weirfield St,11385,1,36,1010857,194024,MDzwone@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/24/q239,7,3,24Q239,40.699037,-73.903911,7,34,553,,,Ridgewood                                                                  
QASN,NYCEEC,Q,Early Steps Family Center,,718-888-2301,216 Bch 87th St,11693,3,20,1036465,153570,carmen.ayala@vnsny.org,5,http://vnsny.org,9,3,27QASN,40.588048,-73.812206,7,32,94202,4303414,4161200006,Hammels-Arverne-Edgemere                                                   
QAFJ,NYCEEC,Q,St. Elizabeth School,,718-843-0914,9401 85th St,11416,1,90,1024149,189094,secaupk@Gmail.com,3,,3,1,27QAFJ,40.685708,-73.856393,7,32,34,4187302,4090190001,Woodhaven                                                                  
QAEG,NYCEEC,Q,Grace Lutheran School,,718-545-1129,3120 21st Ave,11105,1,36,1009762,222491,info@gracearoundthecorner.org,7,http://gracearoundthecorner.org,3,1,30QAEG,40.777496,-73.907827,7,22,113,4016954,4008310061,Steinway                                                                   
Z023,DOE,Q,Pre - K Center At 68 - 20 Myrtle Avenue,,212-637-8000,68 - 20 Myrtle Ave,11385,1,180,1016453,194886,pre-k@schools.nyc.gov,5,,9,3,24Z023,40.701649,-73.884309,7,30,629,4090311,4037020025,Glendale                                                                   
R036,DOE,R,P.S. 036 J C Drumgoole,,718-984-1422,255 Ionia Ave,10312,1,110,933540,137305,bbellaf@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/31/r036,3,1,31R036,40.543083,-74.182299,7,51,17005,5107742,5062620012,Annadale-Huguenot-Prince's Bay-Eltingville                                 
KBPO,NYCEEC,K,"Brooklyn Child Care, Inc.",,718-630-2831,800 Poly Pl Building 2,11209,1,15,977227,161359,tanya.lipkin@va.gov,5,,7,1,20KBPO,40.609263,-74.02399,7,43,164,3345707,3061530001,Bay Ridge                                                                  
Z044,DOE,K,Pre - K Center At 7301 15th Avenue,,212-637-8000,7301 15th Ave,11228,1,72,983772,164622,pre-k@schools.nyc.gov,5,,9,3,20Z044,40.618718,-74.001898,7,43,188,3253521,3062020006,Bensonhurst West                                                           
X100,DOE,X,P.S. 100 Isaac Clason,,718-842-1461,800 Taylor Ave,10473,1,36,1022227,238734,caltman3@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/08/x100,7,3,08X100,40.821409,-73.862976,7,18,42,2022550,2036410001,Soundview-Castle Hill-Clason Point-Harding Park                            
K038,DOE,K,P.S. 038 The Pacific,,718-330-9305,450 Pacific St,11217,1,126,988968,188868,yramire4@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/15/k038,3,1,15K038,40.685264,-73.982639,7,33,39,3001183,3001910001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
KBLU,NYCEEC,K,Stagg Street Center For Children,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-388-1395,77 Stagg St,11206,1,70,998837,197692,daycare77@aol.com,3,,3,1,14KBLU,40.709127,-73.947461,7,34,511,3070819,3030230032,East Williamsburg                                                          
Q084,DOE,Q,P.S. 084 Steinway,,718-278-1915,22 - 45 41 St,11105,1,72,1010255,220246,jbuffa@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/30/q084,3,3,30Q084,40.772027,-73.90573,7,22,119,,,Steinway                                                                   
QBGR,NYCEEC,Q,Mi Nuevo Mundo,,718-476-3128,5102 31st Ave,11377,1,36,1009845,215010,mnmchildren@gmail.com,3,,2,2,30QBGR,40.756988,-73.907758,7,26,295,4025175,4011310022,Woodside                                                                   
RAIT,NYCEEC,R,Ivy League Early Learning Academy,,718-982-0202,1779 Richmond Ave,10314,1,36,939290,159658,statenisland@ivyleagueearlylearning.com,5,http://ivyleagueearlylearning.com,9,3,31RAIT,40.605017,-74.162243,7,50,27301,5151246,5020700001,New Springville-Bloomfield-Travis                                          
M123,DOE,M,P.S. 123 Mahalia Jackson,,212-342-6200,301 West 140 St,10030,1,54,999649,238086,mhernan5@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/05/m123,3,3,05M123,40.819767,-73.944433,7,9,22102,1060726,1020420035,Central Harlem North-Polo Grounds                                          
Z056,DOE,Q,Pre - K Center At P.S. 070 Queens,,212-637-8000,30 - 45 42 St,11103,1,90,1008066,216884,pre-k@schools.nyc.gov,5,,9,3,30Z056,40.762789,-73.913692,7,22,149,,,Astoria                                                                    
M343,DOE,M,The Peck Slip School,,212-346-5210,1 Peck Slip,10038,1,36,982765,199173,tmalave@schools.nyc.gov,5,http://schools.nyc.gov/schoolportals/02/m343,9,3,02M343,40.708766,-74.002406,7,1,1501,1001363,1001060009,Battery Park City-Lower Manhattan                                          
MAYJ,NYCEEC,M,New York Center For Child Development,,212-752-7575,159 W 127th St,10027,1,16,999006,234441,BerniceFokum@nyccd.org,7,http://nyccd.org,6,2,05MAYJ,40.809752,-73.946114,7,9,224,1057901,1019120006,Central Harlem North-Polo Grounds                                          
K153,DOE,K,P.S. 153 Homecrest,,718-375-4484,1970 Homecrest Ave,11229,1,64,995364,158309,csanta@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/21/k153,3,3,21K153,40.601617,-73.959779,7,48,556,3196677,3072910030,Homecrest                                                                  
K025,DOE,K,P.S. 025 Eubie Blake School,,718-574-2336,787 Lafayette Ave,11221,1,36,1000753,191155,acoley2@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/16/k025,3,3,16K025,40.691037,-73.941342,7,36,281,3049858,3017870014,Stuyvesant Heights                                                         
QBCS,NYCEEC,Q,"Funday Daycare Center, Inc.",,718-460-8552,47 - 05 104th St,11368,1,17,1023224,210957,khanh6688@yahoo.com,5,,9,3,24QBCS,40.745622,-73.859519,7,21,413,,,Corona                                                                     
X209,DOE,X,P.S. 209,,718-364-0085,313 East 183rd St,10458,1,36,1012625,251425,akeegan2@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/10/x209,7,3,10X209,40.856723,-73.897885,7,15,38301,2103868,2031460072,Fordham South                                                              
M168,CHARTER,M,East Harlem Scholars Academy Charter School II Pre - Kindergarten,,212-348-2518,1573 Madison Ave,10029,1,36,998441,228534,info@ehtp.org,5,http://eastharlemscholars.org/east-harlem-scholars-academy-ii,9,3,04M168,40.793763,-73.949381,7,8,17401,1051515,1016120050,East Harlem South                                                          
M126,DOE,M,P.S. 126 Jacob August Riis,,212-962-2188,80 Catherine St,10038,1,46,985099,198162,jgetz@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/02/m126,2,3,02M126,40.710729,-73.996631,7,1,25,1083357,1001110160,Chinatown                                                                  
MBBG,NYCEEC,M,Community Life Center 2,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,212-427-3000,15 Mt Morris Park West,10027,1,73,999302,232580,barbara.sanchez243@gmail.com,3,,6,2,03MBBG,40.80483,-73.945475,7,9,200,1053368,1017200058,Central Harlem South                                                       
X134,DOE,X,P.S. 134 George F Bristow,,718-328-3351,1330 Bristow St,10459,1,54,1013453,242175,kthomas@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/12/x134,3,3,12X134,40.83132,-73.894794,7,17,153,2010273,2029650082,Crotona Park East                                                          
Q135,DOE,Q,The Bellaire School,,718-464-2119,207 - 11 89 Ave,11427,1,108,1051511,201882,ghadjog@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/29/q135,1,3,29Q135,40.720118,-73.757418,7,23,492,,,Jamaica Estates-Holliswood                                                 
Q021,DOE,Q,P.S. 021 Edward Hart,,718-445-8833,147 - 36 26 Ave,11354,1,90,1034491,221402,dbuszko@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/25/q021,3,3,25Q021,40.774529,-73.819327,7,19,1047,,,Murray Hill                                                                
Z011,DOE,K,Pre - K Center At 1258 65th Street,,718-234-4519,1258 65th St,11219,1,140,983570,167431,DGounar@schools.nyc.gov,5,,9,3,20Z011,40.626555,-74.002486,7,38,194,3328857,3057530026,Dyker Heights                                                              
MASA,NYCEEC,M,Addie Mae Collins 3,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,212-831-3144,2322 Third Ave,10035,1,54,1002112,232470,lissettethrower@gmail.com,3,http://addiemaecollins.org,8,1,05MASA,40.804468,-73.935267,7,9,242,1054497,1017750033,East Harlem North                                                          
X089,DOE,X,P.S. 089 Bronx,,718-653-0835,980 Mace Ave,10469,1,72,1023177,253641,rmartin72@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/11/x089,3,3,11X089,40.863055,-73.859387,7,13,324,2051571,2044440016,Bronxdale                                                                  
K446,DOE,K,Riverdale Avenue Community School,,718-485-1679,76 Riverdale Ave,11212,1,54,1008226,179691,info@riverdaleavenuebrooklyn.org,3,http://schools.nyc.gov/schoolportals/23/k446,3,1,23K446,40.660204,-73.913933,7,42,896,3082253,3035970011,Brownsville                                                                
K262,DOE,K,P.S. 262 El Hajj Malik El Shabazz Elementary School,,718-453-0780,500 Macon St,11233,1,18,1003788,188160,igarner@schools.nyc.gov,3,http://ps262.org/home.aspx,3,1,16K262,40.683241,-73.930813,7,36,297,3046876,3016710019,Crown Heights North                                                        
MBAA,NYCEEC,M,St. Brigid Early Childhood Academy,,347-903-8783,185 Ave D,10009,1,90,991302,203940,Admissions@StBrigidSchoolNY.com,5,http://stbrigidschoolny.com,9,3,01MBAA,40.726324,-73.974124,7,2,28,1088345,1003820022,Lower East Side                                                            
KBQV,NYCEEC,K,Fantasia DCC,,718-646-6738,2743 Ocean Ave,11229,1,33,998090,155851,fantasiadcc@hotmail.com,2,http://fantasiadaycare.com,7,1,22KBQV,40.594304,-73.950436,7,48,59401,3202176,3074050066,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
QBNM,NYCEEC,Q,Talented Little Children III,,718-658-4384,104 - 18 134th St,11419,3,12,1036203,190994,sawebb48@aol.com,5,,9,3,28QBNM,40.691107,-73.81259,7,28,15801,,,South Ozone Park                                                           
MAUC,NYCEEC,M,Grand St. Settlement,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,212-228-8240,300 Delancey St,10002,1,21,990176,200359,jelsayed@grandsettlement.org,3,http://grandsettlement.org,7,1,01MAUC,40.715758,-73.979334,7,2,1002,1078037,1003230001,Lower East Side                                                            
Q175,DOE,Q,P.S. 175 The Lynn Gross Discovery School,,718-897-8600,64 - 35 102 St,11374,1,46,1025050,205563,pcooper3@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/28/q175,3,3,28Q175,40.731616,-73.853509,7,29,721,4051199,4021270062,Forest Hills                                                               
